CT_titles,ECs,common
Efficacy and Safety of a 14-day Modified Sequential Therapy for Refractory Helicobacter Pylori Infection: a Pilot Study,[exclusion] history of allergy to any of the drugs used in the study,1
"A Phase III, Prospective, Open-label, Multi-center Trial of Ferric Derisomaltose in Children 0 to <18 Years of Age With Iron Deficiency Anemia Due to NDD-CKD or With Iron Deficiency Anemia Who Are Intolerant or Unresponsive to Oral Iron",[inclusion] TSAT ∥35 % or s-ferritin <100 ng/mL,
"A Randomised, Double Blind, Placebo Controlled, Parallel Group Comparative Study of the Efficacy, Safety and Tolerability of Sublingual Cannabis Based Medicine Extracts and Placebo in Patients With Intractable Neuropathic Pain Associated With Spinal Cord Injury",[exclusion] history of alcohol or substance abuse,1
"Characterization Of Focal Liver Lesions With Sonovue∝-Enhanced Ultrasound Imaging: A Phase III, Intrapatient Comparative Study Versus Unenhanced Ultrasound Imaging Using Histology Or Combined Imaging/Clinical Data As Truth Standard","[inclusion] in case tissue biopsy is not indicated nor surgery planned, is scheduled for or has performed a CE-CT and/or CE-MRI of the target lesion from 30 days to 48 hours prior to or from 24 hours to 30 days after the administration of SonoVue∝",
Gemcitabine Versus Cisplatin and Gemcitabine in First-line Treatment of Patients With Advanced Non-small Cell Lung Cancer in Poor Physical Condition (Performance Status 2),"[inclusion] histologically or cytologically confirmed diagnosis of advanced non small cell lung cancer, not amenable to surgical or curative radiation therapy (stage IIIB or IV)",
Impact of Beta-2 Adrenergic Blockade With Checkpoint Inhibition in Checkpoint Inhibitor Refractory Metastatic Triple Negative Breast Cancer,"[exclusion] patients with active autoimmune disease, requiring ongoing immunosuppressive therapy or history of transplantation",1
"A Safety and Preliminary Efficacy Trial of Pembrolizumab (MK-3475) in Children With Recurrent, Progressive or Refractory Diffuse Intrinsic Pontine Glioma (DIPG), Non-Brainstem High-Grade Gliomas (NB-HGG), Ependymoma, Medulloblastoma or Hypermutated Brain Tumors",[inclusion] patients must have had their last fraction of: Craniospinal irradiation >= 3 months prior to enrollment,
"A Phase I Study of Vorinostat and Bortezomib in Children With Refractory or Recurrent Solid Tumors, Including CNS Tumors and Lymphomas",[inclusion] creatinine clearance or radioisotope GFR ｜ 70 mL/min OR serum creatinine based on age and/or gender as follows: (male) or 1.4 (female) ( ｜ 16 years of age),1
"A Phase 1, Single-center, Placebo-controlled, Double-blind, Randomized Trial to Assess the Safety, Tolerability, and Pharmacokinetics of Single Ascending Oral Doses of ACH-000029 in Healthy Subjects",[exclusion] abnormal ECG findings at screening or check-in,
Efficacy of Soluble Dexamethasone by Echo-guided Infiltration Through the Sacrococcygeal Hiatus in Refractory Sciatica: a Prospective Randomised Double-blind Study Versus Placebo,[inclusion] neurological deficit < 3/5 or signs of cauda equina irritation,
An Open-Label Multicenter Randomized Phase 3 Study Comparing the Combination of DOXIL/CAELYX and YONDELIS With DOXIL/CAELYX Alone in Subjects With Advanced Relapsed Ovarian Cancer,[exclusion] prior exposure to anthracyclines,
"A Phase II Multicenter, Open-Label, Clinical And Pharmacokinetic Study of Aplidin∝ As A 1-Hour Weekly IV Infusion, in Patients With Relapsed Or Refractory Aggressive Non-Hodgkin's Lymphoma",[exclusion] treatment with any investigational product in the 30 days period before inclusion in the study,1
"A Multicenter, Randomized, Single-Masked, Sham-Controlled, Proof-of-Concept Study of Intravitreal AL-78898A in Patients With Bilateral Geographic Atrophy (GA) Associated With Age-Related Macular Degeneration (AMD)",[exclusion] current ocular or periocular infection in the study eye,
"A Randomized, Three-treatment, Three-period, Six-sequence Crossover, Single-center, Bioequivalence Study to Evaluate the Impact of Varying Crystalline Polymorph Forms for the Commercial Oral Capsule Formulation of 10-mg Lenvatinib in Healthy Volunteers",[exclusion] known history of clinically significant drug allergy at Screening or Baseline,1
Autologous Transplantation of Haematopoietic Stem Cells With Conditioning Including Zevalin + BEAM to Patients Suffering From Refractory Large B-cell Diffuse Lymphom,"[inclusion] additionally, to be able to undergo haematopoietic stem cell transplantation",
Treatment With Ziprasidone for Schizophrenia Patients With Obsessive Compulsive Disorder (OCD),[exclusion] diagnosis of schizophreniform disorder,
A Randomized Phase II Trial of Sunitinib/Gemcitabine or Sunitinib in Advanced Renal Cell Carcinoma With Sarcomatoid Features,[inclusion] serum creatinine clearance ｜ 30 mL/min,1
The Effects of Prazosin on the Attention-Enhancing Effects of Nicotine in Healthy Non-Smokers,"[exclusion] history of or current neurological illnesses, such as stroke, seizure disorders, neurodegenerative diseases, or organic brain syndrome",1
"A Phase 3 Study of the Safety, Tolerability, and Efficacy of CMX001 for the Prevention of Cytomegalovirus (CMV) Infection in CMV-seropositive (R+) Hematopoietic Stem Cell Transplant Recipients",[exclusion] had received (or were anticipated to need treatment with) any of the following: Any other investigation drug within 14 days prior to the first dose of study drug (unless prior approval had been received from the Chimerix medical monitor or designee); or,1
A Pilot Study to Evaluate Response to Neoadjuvant Chemotherapy With Cisplatin and Docetaxel Followed by Chemoradiation Therapy With Carboplatin in Stage IV Non-metastatic Head and Neck Cancer,[exclusion] uncontrolled intercurrent illness that would prevent delivery of protocol therapy,1
"A Long-term, Multicenter, Open-Label, Flexible Dose Continuation Study in Subjects Who Have Completed a Prior Lurasidone Study","[inclusion] the subject or legal guardian provides written informed consent. For eligible subjects under age 18, verbal assent is also required",1
Romiplostim for Prevention of Severe Chemotherapy Induced Thrombocytopenia in Lymphoma Patients - Phase II Study,"[inclusion] grade 4 thrombocytopenia, defined as PLT <25,000 cells/mcl and/or transfusion for thrombocytopenia or bleeding. Need for PLT transfusion in order to meet minimal PLT criteria for invasive procedures will not count for eligibility",
"A Randomized Open-label Study of 400 mg Versus 800 mg of Imatinib Mesylate in Patients With Newly Diagnosed, Previously Untreated Chronic Myeloid Leukemia in Chronic Phase (CML-CP) Using Molecular Endpoints.",[exclusion] patients with known positivity for human immunodeficiency virus (HIV); baseline testing for HIV is not required,1
Phase III Trial for Primary Radiotherapy With Single-Agent Cisplatin or Combination Chemotherapy in PET/CT Defined Poor-Prognostic Cervical Cancer Patients,[exclusion] previous chemotherapy or pelvic RT,
"A Phase 1b, Double-Blind, Randomized, Placebo-Controlled, Multicenter Study Evaluating the Safety, Tolerability, and Pharmacokinetics of GS-5745 in Subjects With Rheumatoid Arthritis","[exclusion] any chronic medical condition (including, but not limited to, cardiac or pulmonary disease) that, in the judgment of the investigator, would make the individual unsuitable for the study or would prevent compliance with the study protocol",1
"The Effects of Tiotropium Therapy on Airway Diameter in Patients With COPD (a Randomized, Double-blind, Placebo-controlled, Parallel-group Study)",[exclusion] patients with regular use of daytime oxygen therapy,
"Phase 3, Randomized, Open Label, Active Controlled Study Evaluating the Efficacy and Safety of Three Times Per Week (TIW) Oral Dosing of Vadadustat for the Treatment of Anemia in Subjects With Dialysis-Dependent Chronic Kidney Disease (DD-CKD) (TRILO2GY)",[inclusion] currently maintained on ESA therapy,
"Prospective Clinical Trial to Assess Safety and Efficacy of DRV/r(TMC 114/r), ETV(TMC 125) and MK-0518 in Addition to OBT in HIV-1 Infected Patients With Limited to No Treatment Options ANRS 139 TRIO",[exclusion] opportunistic infection at the acute phase,
"A Phase I/II Study of an Oral Epidermal Growth Factor Receptor Tyrosine Kinase Inhibitor (EGFR-TKI), ZD 1839 (Iressa), [NSC #715055] With Radiation Therapy in Glioblastoma Multiforme","[exclusion] active connective tissue disorders, such as lupus or scleroderma which, in the opinion of the treating physician, may put the patient at high risk for radiation toxicity",
A Phase II Study of Itacitinib in Patients With Steroid Refractory Immune Related Adverse Events Arising From Immune Checkpoint Inhibitors,"[inclusion] NOTE: Endocrine toxicities (including hypophysitis, hypopituitarism, hypothyroidism, thyrotoxicosis, immune checkpoint inhibitor-induced diabetes, and primary adrenal insufficiency) will NOT qualify for inclusion",
Preoperative Oral Magnesium Versus Standard of Care to Prevent Postoperative Atrial Fibrillation Following Coronary Surgery (POMAF-CS): A Randomized Controlled Trial,[exclusion] preoperative anti arrythmia drugs classes I and III,
"A Fixed-sequence, Open-label Study to Assess the Effect of Ticlopidine on the Pharmacokinetics, Safety, and Tolerability of Intranasally Administered Esketamine in Healthy Subjects",[inclusion] have a creatinine clearance greater than or equal to (>=) 60 milliliter per minute (mL/min) (calculated using the Cockcroft-Gault formula) at screening,1
"Pyrotinib Plus Capecitabine in Patients With Brain Metastases From HER2-positive Metastatic Breast Cancer : a Single-arm, Open-label, Ahead Study",[exclusion] third space fluid that cannot be controlled by drainage or other methods (such as large amounts of pleural fluid and ascites),
Efficacy of Adalimumab (Humira∝) in Spondyloarthritis Related to Crohn's Disease,"[inclusion] patient has a clinical diagnosis with Crohn's disease, as determined by his/her medical history and confirmation of diagnosis by a gastroenterologist",
"A Randomized, Single Blinded, Controlled, Multi Center Phase 4 Study for Induction of Remission in Active Pediatric Crohn's Disease, Using 2 Months Antibiotic Course of Azithromycin Combined With Metronidazole vs. Metronidazole Alone.","[exclusion] concurrent diseases such as hepatitis, ALT >2 times UNL, renal failure",1
Effect of Scaling and Root Planing Along With Topical Application of Commercially Available Curcuma Longa Gel on Superoxide Dismutase and Malondialdehyde Levels in Saliva of Chronic Periodontitis Patients,[exclusion] pregnant and lactating women,1
"A Prospective, Multicenter, Randomized, Controlled Trial to Evaluate the Safety and Efficacy of a Human Extracellular Matrix Implanted in the Bone Interstices & the Cartilage Defect Following Arthroscopic Microfracture Surgery in the Knee,in Comparison to Microfracture Surgery Alone",[inclusion] recent (within 1 year from screening) history of thromboembolism,
"A Multi-centre, Open-label, Phase IV, Interventional Study to Evaluate the Efficacy of Erlotinib (Tarceva∝) Following 4 Cycles of Platinum-based Chemotherapy in Patients With Locally Advanced or Metastatic Non-small Cell Lung Cancer (NSCLC) Who Have Not Experienced Disease Progression or Unacceptable Toxicity During Chemotherapy","[exclusion] any other malignancies within the previous 5 years, except for adequately treated carcinoma in situ of the cervix or squamous cell skin cancer",
"A Randomized Phase II Trial of Triplet Therapy (A PD-L1 Inhibitor Durvalumab (MEDI4736) in Combination With Olaparib and Cediranib) Compared to Olaparib and Cediranib or Durvalumab (MEDI4736) and Cediranib or Standard of Care Chemotherapy in Women With Platinum-Resistant Recurrent Epithelial Ovarian Cancer, Primary Peritoneal or Fallopian Cancer Who Have Received Prior Bevacizumab","[exclusion] patients who have had chemotherapy, investigational drugs or radiotherapy within 3 weeks prior to study registration or those who have not recovered from adverse events due to agents administered more than 3 weeks earlier",1
"Double-blind, Placebo-controlled Multicenter Phase II Trial to Evaluate the Efficacy and Safety of Romiplostim for the Treatment of Chemotherapy-induced Thrombocytopenia in Subjects With Relapsed Ovarian Cancer (2nd or Further Line)","[exclusion] any psychological, familial, sociological or geographical condition potentially hampering compliance with the study protocol and follow-up schedule; those conditions should be discussed with the subject before registration in the trial",1
